fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-09,Subidas,Boyomo,DF,Osasuna,25741457,+562157,+2.2
2026-08-09,Subidas,Ionut Radu,PT,Celta Vigo,39681613,+450302,+1.1
2026-08-09,Subidas,O. Sancet,MC,Athletic Club,52140968,+224186,+0.4
2026-08-09,Subidas,Isaac,DL,Sevilla,6112184,+28549,+0.5
2026-08-09,Subidas,FAFacu,DF,Racing Santander,3113617,-11027,-0.4
2026-08-09,Subidas,P. Campos,PT,Levante,1185467,-22513,-1.9
2026-08-09,Subidas,Pablo Durán,DL,Celta Vigo,1234551,-34495,-2.7
2026-08-09,Subidas,C. Puga,DF,Malaga,5598496,-59738,-1.1
2026-08-09,Subidas,Javi Guerra,MC,Valencia,24119208,-96430,-0.4
2026-08-09,Subidas,Guido Rodríguez,MC,Valencia,27106409,-451666,-1.6
2026-08-09,Subidas,Tchouaméni,MC,Real Madrid,45502262,-487957,-1.1
2026-08-09,Bajadas,Tchouaméni,MC,Real Madrid,45502262,-487957,-1.1
2026-08-09,Bajadas,Guido Rodríguez,MC,Valencia,27106409,-451666,-1.6
2026-08-09,Bajadas,Javi Guerra,MC,Valencia,24119208,-96430,-0.4
2026-08-09,Bajadas,C. Puga,DF,Malaga,5598496,-59738,-1.1
2026-08-09,Bajadas,Pablo Durán,DL,Celta Vigo,1234551,-34495,-2.7
2026-08-09,Bajadas,P. Campos,PT,Levante,1185467,-22513,-1.9
2026-08-09,Bajadas,FAFacu,DF,Racing Santander,3113617,-11027,-0.4
2026-08-09,Bajadas,Isaac,DL,Sevilla,6112184,+28549,+0.5
2026-08-09,Bajadas,O. Sancet,MC,Athletic Club,52140968,+224186,+0.4
2026-08-09,Bajadas,Ionut Radu,PT,Celta Vigo,39681613,+450302,+1.1
2026-08-09,Bajadas,Boyomo,DF,Osasuna,25741457,+562157,+2.2
