fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-08-30,Subidas,1Fermín,MC,Barcelona,85949781,+2660211,+3.2
2026-08-30,Subidas,2Raphinha,DL,Barcelona,111065934,+2564567,+2.4
2026-08-30,Subidas,3Aubameyang,DL,Deportivo,55783086,+2066367,+3.8
2026-08-30,Subidas,4Bellingham,MC,Real Madrid,102141868,+1929935,+1.9
2026-08-30,Subidas,5Gerard Martín,DF,Barcelona,44976533,+1423437,+3.3
2026-08-30,Subidas,6Arda Güler,MC,Real Madrid,70737376,+1378017,+2.0
2026-08-30,Subidas,7Mbappé,DL,Real Madrid,132576516,+1261546,+1.0
2026-08-30,Subidas,8Eric,DF,Barcelona,54265673,+1206329,+2.3
2026-08-30,Subidas,9Kang-In Lee,MC,Atlético,53680803,+1203475,+2.3
2026-08-30,Subidas,10Á. Valles,PT,Real Betis,41532445,+1184161,+2.9
2026-08-30,Subidas,11Adeyemi,DL,Barcelona,47111295,+995636,+2.2
2026-08-30,Subidas,12Huijsen,DF,Real Madrid,44038847,+995606,+2.3
2026-08-30,Subidas,13David Soria,PT,Getafe,29034077,+925957,+3.3
2026-08-30,Subidas,14Fran García,DF,Real Betis,15400091,+817836,+5.6
2026-08-30,Subidas,15Tenaglia,DF,Alavés,23909673,+815585,+3.5
2026-08-30,Subidas,16Iñigo Vicente,DL,Racing,22925455,+728554,+3.3
2026-08-30,Subidas,17Konaté,DF,Real Madrid,51619313,+719767,+1.4
2026-08-30,Subidas,18Joan García,PT,Barcelona,72675930,+697020,+1.0
2026-08-30,Subidas,19Roberto,DL,Espanyol,15251826,+661627,+4.5
2026-08-30,Subidas,20Gerard,DL,Villarreal,28427769,+647720,+2.3
2026-08-30,Subidas,Sivera,PT,Alavés,38910520,+584236,+1.5
2026-08-30,Subidas,Giuliano,DL,Atlético,43959818,+583846,+1.3
2026-08-30,Subidas,Enes Ünal,DL,Getafe,16543577,+581438,+3.6
2026-08-30,Subidas,Vlachodimos,PT,Sevilla,25651845,+575923,+2.3
2026-08-30,Subidas,Dimitrievski,PT,Valencia,19528258,+574071,+3.0
2026-08-30,Subidas,Antony,DL,Real Betis,68984074,+550954,+0.8
2026-08-30,Subidas,Catena,DF,Osasuna,31781254,+546151,+1.7
2026-08-30,Subidas,Ryan,PT,Levante,15808461,+527737,+3.5
2026-08-30,Subidas,Rodri,MC,Barcelona,78744306,+524124,+0.7
2026-08-30,Subidas,Mariano,DL,Alavés,6534915,+519382,+8.6
2026-08-30,Subidas,Koke,MC,Atlético,19390571,+512727,+2.7
2026-08-30,Subidas,Foyth,DF,Villarreal,17564181,+495726,+2.9
2026-08-30,Subidas,Lucas Boyé,DL,Alavés,11847651,+483524,+4.3
2026-08-30,Subidas,Djene,DF,Getafe,12934570,+465553,+3.7
2026-08-30,Subidas,Mojica,DF,Getafe,15306774,+465233,+3.1
2026-08-30,Subidas,Agirrezabala,PT,Racing,7382547,+463941,+6.7
2026-08-30,Subidas,Riquelme,MC,Real Betis,7728492,+459023,+6.3
2026-08-30,Subidas,Xavi Espart,DF,Barcelona,2144321,+436647,+25.6
2026-08-30,Subidas,Valverde,MC,Real Madrid,72831375,+423946,+0.6
2026-08-30,Subidas,Marc Bernal,MC,Barcelona,10132470,+412234,+4.2
2026-08-30,Subidas,Carlos Espí,DL,Real Madrid,13892007,+400711,+3.0
2026-08-30,Subidas,Zaid Romero,DF,Getafe,28520444,+399237,+1.4
2026-08-30,Subidas,Pepe,DL,Villarreal,66947016,+369690,+0.6
2026-08-30,Subidas,Ángel Pérez,DL,Alavés,8238285,+367995,+4.7
2026-08-30,Subidas,Dolan,DL,Espanyol,11047333,+338452,+3.2
2026-08-30,Subidas,Rubén García,MC,Osasuna,14943652,+320076,+2.2
2026-08-30,Subidas,Pepelu,MC,Valencia,9753844,+316233,+3.4
2026-08-30,Subidas,Y. Zabiri,DL,Racing,4387664,+315295,+7.7
2026-08-30,Subidas,Tárrega,DF,Valencia,11530337,+314815,+2.8
2026-08-30,Subidas,A. Herrero,PT,Málaga,10505888,+311782,+3.1
2026-08-30,Subidas,Abel Bretones,DF,Osasuna,5308147,+283166,+5.6
2026-08-30,Subidas,Sangante,DF,Sevilla,11685952,+281935,+2.5
2026-08-30,Subidas,M. Román,MC,Celta,5978398,+270700,+4.7
2026-08-30,Subidas,Javi Rodríguez,DF,Celta,11053050,+265150,+2.5
2026-08-30,Subidas,Bartra,DF,Real Betis,30514948,+264001,+0.9
2026-08-30,Subidas,Jonny Otto,DF,Alavés,7592449,+263515,+3.6
2026-08-30,Subidas,Pathé I. Ciss,MC,Rayo Vallecano,18472757,+255733,+1.4
2026-08-30,Subidas,Javi Guerra,MC,Valencia,24991990,+251490,+1.0
2026-08-30,Subidas,Gordon,DL,Barcelona,67083486,+243356,+0.4
2026-08-30,Subidas,Mangala,MC,Getafe,11947405,+230770,+2.0
2026-08-30,Subidas,F. Bernal,MC,Real Betis,11552858,+229581,+2.0
2026-08-30,Subidas,Koski,DF,Alavés,2655368,+227780,+9.4
2026-08-30,Subidas,G. Villar,MC,Elche CF,8925102,+227408,+2.6
2026-08-30,Subidas,Yeray,DF,Athletic Club,6800364,+225937,+3.4
2026-08-30,Subidas,Pedri,MC,Barcelona,89623307,+225019,+0.3
2026-08-30,Subidas,Nuñez,DF,Espanyol,7226526,+224411,+3.2
2026-08-30,Subidas,Dani Lorenzo,MC,Málaga,10376224,+221986,+2.2
2026-08-30,Subidas,Cucho,DL,Real Betis,47081379,+215695,+0.5
2026-08-30,Subidas,Sucic,MC,Real Sociedad,4205847,+209822,+5.3
2026-08-30,Subidas,R. Terrats,MC,Getafe,4731376,+200173,+4.4
2026-08-30,Subidas,Ibañez,MC,Alavés,4974490,+193568,+4.0
2026-08-30,Subidas,Blanco,MC,Alavés,15219349,+188733,+1.3
2026-08-30,Subidas,Peio Canales,MC,Athletic Club,10443824,+186863,+1.8
2026-08-30,Subidas,Amatucci,MC,Deportivo,15300675,+183403,+1.2
2026-08-30,Subidas,Bellerín,DF,Real Betis,16165931,+181024,+1.1
2026-08-30,Subidas,Unai Lopez,MC,Rayo Vallecano,8251496,+177406,+2.2
2026-08-30,Subidas,Isaac,DL,Sevilla,7217800,+167908,+2.4
2026-08-30,Subidas,Mikautadze,DL,Villarreal,73131618,+162257,+0.2
2026-08-30,Subidas,Mandi,DF,Levante,8869488,+159076,+1.8
2026-08-30,Subidas,Cala,DL,Espanyol,5449290,+156419,+3.0
2026-08-30,Subidas,Javi Hernández,MC,Espanyol,10582125,+137755,+1.3
2026-08-30,Subidas,Rafita,DF,Málaga,5452708,+133017,+2.5
2026-08-30,Subidas,Luismi Cruz,DL,Deportivo,5736103,+132783,+2.4
2026-08-30,Subidas,Mikel Rodriguez,MC,Alavés,2269761,+132034,+6.2
2026-08-30,Subidas,Agoumé,MC,Sevilla,6773004,+130443,+2.0
2026-08-30,Subidas,Llorente,DF,Real Betis,12228425,+128319,+1.1
2026-08-30,Subidas,Herrando,DF,Osasuna,2026677,+120984,+6.3
2026-08-30,Subidas,Paredes,DF,Athletic Club,7345599,+117667,+1.6
2026-08-30,Subidas,Fornals,MC,Real Betis,60968042,+116425,+0.2
2026-08-30,Subidas,Marc Roca,MC,Real Betis,6546598,+115859,+1.8
2026-08-30,Subidas,A. Rebbach,DL,Alavés,5001217,+113173,+2.3
2026-08-30,Subidas,Einar,DF,Málaga,4303881,+109110,+2.6
2026-08-30,Subidas,Camello,DL,Rayo Vallecano,4202160,+99493,+2.4
2026-08-30,Subidas,Ejuke,DL,Sevilla,3160854,+96217,+3.1
2026-08-30,Subidas,Dotor,MC,Málaga,4268117,+90368,+2.2
2026-08-30,Subidas,Vini Jr.,DL,Real Madrid,102895895,+90161,+0.1
2026-08-30,Subidas,Yoel Lago,DF,Celta,1103727,+88368,+8.7
2026-08-30,Subidas,Deossa,MC,Real Betis,2226756,+82760,+3.9
2026-08-30,Subidas,Christensen,DF,Barcelona,5385708,+79158,+1.5
2026-08-30,Subidas,Riedel,DF,Espanyol,6448770,+78998,+1.2
2026-08-30,Subidas,A. Alti,DF,Deportivo,6407648,+74195,+1.2
2026-08-30,Subidas,Moi Gómez,MC,Osasuna,1997714,+72920,+3.8
2026-08-30,Subidas,Arguibide,DF,Osasuna,821525,+72171,+9.6
2026-08-30,Subidas,Valentín Gómez,DF,Real Betis,1732115,+68970,+4.1
2026-08-30,Subidas,Nacho Perez,DF,Levante,1024302,+68860,+7.2
2026-08-30,Subidas,Pablo Ramón,DF,Racing,1228916,+64052,+5.5
2026-08-30,Subidas,Manu Hernando,DF,Racing,2460094,+58244,+2.4
2026-08-30,Subidas,Sergio,MC,Racing,1736327,+58131,+3.5
2026-08-30,Subidas,Pablo García,DL,Real Betis,2543883,+56014,+2.3
2026-08-30,Subidas,Jorge Salinas,DF,Racing,7040488,+52572,+0.8
2026-08-30,Subidas,Andrés Garcia,MC,Getafe,8334961,+52446,+0.6
2026-08-30,Subidas,Raúl,DL,Osasuna,1521677,+52052,+3.5
2026-08-30,Subidas,El Hilali,DF,Espanyol,12073627,+49519,+0.4
2026-08-30,Subidas,Budimir,DL,Osasuna,49082621,+48283,+0.1
2026-08-30,Subidas,Manu Sánchez,DF,Levante,4920675,+45569,+0.9
2026-08-30,Subidas,Dela,DF,Levante,11369702,+44746,+0.4
2026-08-30,Subidas,D. Cárdenas,PT,Rayo Vallecano,959663,+36969,+4.0
2026-08-30,Subidas,Miguel Sierra,DL,Sevilla,1282251,+36513,+2.9
2026-08-30,Subidas,Guridi,MC,Sevilla,7433189,+35142,+0.5
2026-08-30,Subidas,Herrera,MC,Real Sociedad,3607093,+35050,+1.0
2026-08-30,Subidas,Iker Muñoz,MC,Osasuna,1329439,+34100,+2.6
2026-08-30,Subidas,J. Vázquez,DF,Valencia,1964173,+32746,+1.7
2026-08-30,Subidas,O. Rey,MC,Levante,1000084,+32009,+3.3
2026-08-30,Subidas,Iago Aspas,DL,Celta,6138635,+27649,+0.5
2026-08-30,Subidas,Recio,DF,Málaga,962336,+26736,+2.9
2026-08-30,Subidas,R. Mendoza,MC,Atlético,1161817,+25693,+2.3
