fecha,tipo,jugador,posicion,equipo,precio_eur,cambio_eur,cambio_pct
2026-09-15,Subidas,M. Román,MC,Celta,11581679,+287464,+2.5
2026-09-15,Subidas,Vlachodimos,PT,Sevilla,29607162,+280922,+1.0
2026-09-15,Subidas,Luismi Cruz,DL,Deportivo,9231497,+227805,+2.5
2026-09-15,Subidas,Gerenabarrena,MC,Athletic Club,3553051,+141348,+4.1
2026-09-15,Subidas,A. Rebbach,DL,Alavés,5134108,+34653,+0.7
2026-09-15,Subidas,Blanco,MC,Alavés,20212320,+23912,+0.1
2026-09-15,Subidas,Amatucci,MC,Deportivo,18106490,+7402,0.0
2026-09-15,Bajadas,Gudelj,MC,Getafe,6274214,-5423,-0.1
2026-09-15,Bajadas,Iñigo Perez,DT,Villarreal,988050,-24105,-2.4
2026-09-15,Bajadas,Claudio Giraldez,DT,Celta,991213,-24238,-2.4
2026-09-15,Bajadas,D. Villares,MC,Deportivo,1239404,-32030,-2.5
2026-09-15,Bajadas,C. Soler,MC,Real Sociedad,30425010,-178158,-0.6
2026-09-15,Bajadas,Zaid Romero,DF,Getafe,25995531,-527759,-2.0
